CustomerID,Name,Gender,Age,MaritalStatus,EmploymentStatus,AnnualIncome,CreditScore,City,State,ZipCode,JoinDate,PreferredContactMethod,CustomerSegment,RiskScore
CUS000000,Corey Turner,M,32,Married,Employed,53000.0,421,Port Thomasland,Oklahoma,77832,2024-05-02,Email,Premium,86.75
CUS000001,Maurice Stevens,F,20,Single,Student,76000.0,791,Lake Reginatown,Pennsylvania,71041,2023-04-16,Mail,Premium,99.23
CUS000002,Carl Villa,F,39,Single,Employed,78000.0,774,Port Donnaland,Kentucky,55061,2024-08-29,Phone,Premium,29.92
CUS000003,Jennifer Robinson,F,79,Married,Employed,53000.0,543,South Kyle,Mississippi,04892,2022-11-07,Phone,Premium,61.15
CUS000004,Michelle Rice,M,35,Divorced,Student,39000.0,541,Patriciashire,Arizona,05978,2022-07-03,Email,Premium,23.86
CUS000005,Lauren Cochran,F,61,Married,Employed,44000.0,505,Marioland,Maine,43063,2023-08-26,Email,Premium,75.78
CUS000006,Michael Foster,F,21,Single,Student,58000.0,461,West Lauriehaven,Alabama,57420,2022-09-06,Email,Basic,73.0
CUS000007,Bonnie Morgan,F,79,Married,Employed,50000.0,637,Bethanyville,Oregon,66709,2023-07-18,Phone,Standard,96.56
CUS000008,Daniel Martinez,M,58,Single,Employed,77000.0,820,Millsport,Texas,13146,2021-10-22,Phone,Premium,1.55
CUS000009,Jennifer Thompson,M,25,Married,Unemployed,114000.0,789,Amberside,South Carolina,14689,2021-02-22,Email,Premium,86.45
CUS000010,Jennifer Wilson,F,50,Single,Employed,79000.0,398,Josephville,Minnesota,42861,2024-05-17,Phone,Standard,56.56
CUS000011,Brian Ford,M,20,Married,Employed,54000.0,697,East Amandaview,New Jersey,10842,2022-08-29,Email,Standard,43.33
CUS000012,Mary Murillo,M,68,Single,Self-Employed,31000.0,395,New Lindsay,Minnesota,70097,2022-02-02,Phone,Premium,60.84
CUS000013,Troy Aguilar,M,53,Divorced,Employed,69000.0,542,New Andreachester,Iowa,97866,2020-09-08,Email,Basic,81.0
CUS000014,Rachel Brown,F,45,Divorced,Employed,80000.0,630,Langport,New Mexico,53554,2022-08-24,Email,Premium,36.27
CUS000015,Joseph Mendoza,M,44,Married,Unemployed,149000.0,558,New Margaretbury,Florida,79515,2024-12-05,Email,Standard,42.32
